rank,date,season,name,mlbam,team,opponent,game,game_pk,game_date,game_status,venue,home_away,is_home,pitcher,probable_pitcher,opposing_pitcher,pitcher_mlbam,pitcher_hand,opponent_probable_pitcher,opponent_probable_pitcher_mlbam,team_probable_pitcher,team_probable_pitcher_mlbam,odds,book,implied,score,statcast,barrel_pct,hard_hit_pct,avg_ev,xslg,xwoba,launch_angle,raw_team,raw_game,odds_source_row,weather_boost,weather_match,weather_temp,weather_wind,weather_wind_deg,weather_desc,weather_park,trend,trend_score,hot_score,l5_games,l10_games,l15_games,l5_hr,l10_hr,l15_hr,l5_hits,l10_hits,l5_tb,l10_tb,l5_tbpg,l10_tbpg,l5_hitpg,l10_hitpg,l5_papg,l10_papg,trend_last_game,trend_match_type,pitcher_team,pitcher_status,pitcher_gs,pitcher_ip,pitcher_era,pitcher_whip,pitcher_xfip,pitcher_team_so,pitcher_last3,pitcher_k9,pitcher_bb9,pitcher_hr9,pitcher_attack_score,pitcher_attack_tag,pAtk,pitcher_match_type,park,ballpark,home_team,hr_park_score,parkScore,park_score,park_label,park_note,park_match_type
1,2026-05-13,2026,Junior Caminero,,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,822815,2026-05-13T23:07:00Z,Scheduled,Rogers Centre,away,0,Dylan Cease,Dylan Cease,Dylan Cease,656302,R,Dylan Cease,656302,Griffin Jax,643377,430,DraftKings,18.87,83.33,matched_local,10.6,43.9,91.4,0.5,,10.1,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,"{""player"":""Junior Caminero"",""player_key"":""junior caminero"",""team"":""Tampa Bay Rays"",""team_key"":""tampa bay rays"",""game"":""Tampa Bay Rays @ Toronto Blue Jays"",""game_key"":""tampa bay rays @ toronto blue jays"",""market"":""HR"",""line"":""0.5"",""odds"":""430"",""book"":""DraftKings"",""consensus_odds"":""385"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+430 | FanDuel:+420 | Caesars:+350 | BetMGM:+310"",""raw_books_seen"":""DraftKings:+430 | FanDuel:+420 | DraftKings:+367 | FanDuel:+360 | Caesars:+350 | Caesars:+350 | BetMGM:+310 | BetMGM:+310 | DraftKings:+430"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Toronto Blue Jays,probable,8,45.3,2.58,1.24,2.77,6.99,3.20,13.10,3.57,0.20,16.95,AVOID,16.95,MATCH,Rogers Centre,Rogers Centre,Toronto Blue Jays,62.00,62.00,62.00,BOOST,Good HR park,MATCH
2,2026-05-13,2026,Victor Scott II,,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,825010,2026-05-14T01:40:00Z,Scheduled,Sutter Health Park,away,0,J.T. Ginn,J.T. Ginn,J.T. Ginn,669372,R,J.T. Ginn,669372,Matthew Liberatore,669461,2200,BetMGM,4.35,43.84,missing,,,,,,,St. Louis Cardinals,St. Louis Cardinals @ Athletics,"{""player"":""Victor Scott II"",""player_key"":""victor scott"",""team"":""St Louis Cardinals"",""team_key"":""st louis cardinals"",""game"":""St. Louis Cardinals @ Athletics"",""game_key"":""st louis cardinals @ athletics"",""market"":""HR"",""line"":""0.5"",""odds"":""2200"",""book"":""BetMGM"",""consensus_odds"":""1580"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+2200 | DraftKings:+1660 | Caesars:+1500 | FanDuel:+1500"",""raw_books_seen"":""BetMGM:+2200 | DraftKings:+1660 | Caesars:+1500 | FanDuel:+1500 | DraftKings:+1260 | FanDuel:+1200 | Caesars:+1100 | BetMGM:+2200"",""removed_outliers"":""4"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Athletics,probable,6,37.3,3.62,1.13,4.68,8.28,3.45,7.47,3.62,1.21,43.55,NEUTRAL,43.55,MATCH,Sutter Health Park,Sutter Health Park,Athletics,55.00,55.00,55.00,NEUTRAL,Neutral,MATCH
3,2026-05-13,2026,Chandler Simpson,,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,822815,2026-05-13T23:07:00Z,Scheduled,Rogers Centre,away,0,Dylan Cease,Dylan Cease,Dylan Cease,656302,R,Dylan Cease,656302,Griffin Jax,643377,2200,DraftKings,4.35,43.84,missing,,,,,,,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,"{""player"":""Chandler Simpson"",""player_key"":""chandler simpson"",""team"":""Tampa Bay Rays"",""team_key"":""tampa bay rays"",""game"":""Tampa Bay Rays @ Toronto Blue Jays"",""game_key"":""tampa bay rays @ toronto blue jays"",""market"":""HR"",""line"":""0.5"",""odds"":""2200"",""book"":""DraftKings"",""consensus_odds"":""2100"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+2200 | BetMGM:+2200 | Caesars:+2000 | FanDuel:+1800"",""raw_books_seen"":""DraftKings:+2200 | BetMGM:+2200 | BetMGM:+2000 | Caesars:+2000 | FanDuel:+1800 | FanDuel:+1800 | DraftKings:+1660 | Caesars:+1500 | DraftKings:+2200"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Toronto Blue Jays,probable,8,45.3,2.58,1.24,2.77,6.99,3.20,13.10,3.57,0.20,16.95,AVOID,16.95,MATCH,Rogers Centre,Rogers Centre,Toronto Blue Jays,62.00,62.00,62.00,BOOST,Good HR park,MATCH
4,2026-05-13,2026,Sal Frelick,,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,823791,2026-05-13T23:40:00Z,Scheduled,American Family Field,home,1,Michael King,Michael King,Michael King,650633,R,Michael King,650633,Jacob Misiorowski,694819,2000,Caesars,4.76,43.66,missing,,,,,,,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,"{""player"":""Sal Frelick"",""player_key"":""sal frelick"",""team"":""Milwaukee Brewers"",""team_key"":""milwaukee brewers"",""game"":""San Diego Padres @ Milwaukee Brewers"",""game_key"":""san diego padres @ milwaukee brewers"",""market"":""HR"",""line"":""0.5"",""odds"":""2000"",""book"":""Caesars"",""consensus_odds"":""1940"",""trusted_books_count"":""4"",""trusted_books"":""Caesars:+2000 | DraftKings:+1980 | BetMGM:+1900 | FanDuel:+1800"",""raw_books_seen"":""Caesars:+2000 | DraftKings:+1980 | BetMGM:+1900 | FanDuel:+1800 | FanDuel:+1300 | DraftKings:+1240 | Caesars:+1100 | BetMGM:+1000 | Caesars:+2000"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,San Diego Padres,probable,8,45.7,2.76,1.05,4.12,7.75,3.50,8.87,3.94,0.79,27.61,AVOID,27.61,MATCH,American Family Field,American Family Field,Milwaukee Brewers,65.00,65.00,65.00,BOOST,Good HR park,MATCH
5,2026-05-13,2026,Austin Martin,,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,823710,2026-05-13T23:40:00Z,Scheduled,Target Field,home,1,Max Meyer,Max Meyer,Max Meyer,676974,R,Max Meyer,676974,Simeon Woods Richardson,680573,1850,BetMGM,5.13,43.49,missing,,,,,,,Minnesota Twins,Miami Marlins @ Minnesota Twins,"{""player"":""Austin Martin"",""player_key"":""austin martin"",""team"":""Minnesota Twins"",""team_key"":""minnesota twins"",""game"":""Miami Marlins @ Minnesota Twins"",""game_key"":""miami marlins @ minnesota twins"",""market"":""HR"",""line"":""0.5"",""odds"":""1850"",""book"":""BetMGM"",""consensus_odds"":""1280"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+1850 | Caesars:+1300 | FanDuel:+1260 | DraftKings:+1260"",""raw_books_seen"":""BetMGM:+1850 | Caesars:+1300 | FanDuel:+1260 | DraftKings:+1260 | BetMGM:+1850"",""removed_outliers"":""1"",""odds_quality"":""USABLE_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Miami Marlins,probable,8,42.0,2.79,1.10,3.55,8.62,1.06,9.64,3.21,0.43,11.89,AVOID,11.89,MATCH,Target Field,Target Field,Minnesota Twins,50.00,50.00,50.00,NEUTRAL,Neutral,MATCH
6,2026-05-13,2026,David Hamilton,,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,823791,2026-05-13T23:40:00Z,Scheduled,American Family Field,home,1,Michael King,Michael King,Michael King,650633,R,Michael King,650633,Jacob Misiorowski,694819,1600,BetMGM,5.88,43.15,missing,,,,,,,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,"{""player"":""David Hamilton"",""player_key"":""david hamilton"",""team"":""Milwaukee Brewers"",""team_key"":""milwaukee brewers"",""game"":""San Diego Padres @ Milwaukee Brewers"",""game_key"":""san diego padres @ milwaukee brewers"",""market"":""HR"",""line"":""0.5"",""odds"":""1600"",""book"":""BetMGM"",""consensus_odds"":""1400"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+1600 | DraftKings:+1500 | Caesars:+1300 | FanDuel:+1300"",""raw_books_seen"":""BetMGM:+1600 | DraftKings:+1500 | DraftKings:+1380 | Caesars:+1300 | FanDuel:+1300 | FanDuel:+1260 | Caesars:+950 | BetMGM:+800 | BetMGM:+1600"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,San Diego Padres,probable,8,45.7,2.76,1.05,4.12,7.75,3.50,8.87,3.94,0.79,27.61,AVOID,27.61,MATCH,American Family Field,American Family Field,Milwaukee Brewers,65.00,65.00,65.00,BOOST,Good HR park,MATCH
7,2026-05-13,2026,Ben Williamson,,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,822815,2026-05-13T23:07:00Z,Scheduled,Rogers Centre,away,0,Dylan Cease,Dylan Cease,Dylan Cease,656302,R,Dylan Cease,656302,Griffin Jax,643377,1600,FanDuel,5.88,43.15,missing,,,,,,,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,"{""player"":""Ben Williamson"",""player_key"":""ben williamson"",""team"":""Tampa Bay Rays"",""team_key"":""tampa bay rays"",""game"":""Tampa Bay Rays @ Toronto Blue Jays"",""game_key"":""tampa bay rays @ toronto blue jays"",""market"":""HR"",""line"":""0.5"",""odds"":""1600"",""book"":""FanDuel"",""consensus_odds"":""1440"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+1600 | DraftKings:+1580 | Caesars:+1300 | BetMGM:+1200"",""raw_books_seen"":""FanDuel:+1600 | DraftKings:+1580 | Caesars:+1300 | BetMGM:+1200 | FanDuel:+1040 | DraftKings:+1020 | Caesars:+950 | FanDuel:+1600"",""removed_outliers"":""4"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Toronto Blue Jays,probable,8,45.3,2.58,1.24,2.77,6.99,3.20,13.10,3.57,0.20,16.95,AVOID,16.95,MATCH,Rogers Centre,Rogers Centre,Toronto Blue Jays,62.00,62.00,62.00,BOOST,Good HR park,MATCH
8,2026-05-13,2026,Luis Rengifo,,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,823791,2026-05-13T23:40:00Z,Scheduled,American Family Field,home,1,Michael King,Michael King,Michael King,650633,R,Michael King,650633,Jacob Misiorowski,694819,1500,BetMGM,6.25,42.99,missing,,,,,,,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,"{""player"":""Luis Rengifo"",""player_key"":""luis rengifo"",""team"":""Milwaukee Brewers"",""team_key"":""milwaukee brewers"",""game"":""San Diego Padres @ Milwaukee Brewers"",""game_key"":""san diego padres @ milwaukee brewers"",""market"":""HR"",""line"":""0.5"",""odds"":""1500"",""book"":""BetMGM"",""consensus_odds"":""1280"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+1500 | Caesars:+1300 | DraftKings:+1260 | FanDuel:+1120"",""raw_books_seen"":""BetMGM:+1500 | Caesars:+1300 | DraftKings:+1260 | FanDuel:+1120 | DraftKings:+1020 | FanDuel:+980 | Caesars:+950 | BetMGM:+1500"",""removed_outliers"":""4"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,San Diego Padres,probable,8,45.7,2.76,1.05,4.12,7.75,3.50,8.87,3.94,0.79,27.61,AVOID,27.61,MATCH,American Family Field,American Family Field,Milwaukee Brewers,65.00,65.00,65.00,BOOST,Good HR park,MATCH
9,2026-05-13,2026,Bryce Teodosio,,Los Angeles Angels,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,824438,2026-05-13T17:10:00Z,Scheduled,Progressive Field,away,0,Parker Messick,Parker Messick,Parker Messick,800048,L,Parker Messick,800048,Reid Detmers,672282,1500,BetMGM,6.25,42.99,missing,,,,,,,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,"{""player"":""Bryce Teodosio"",""player_key"":""bryce teodosio"",""team"":""Los Angeles Angels"",""team_key"":""los angeles angels"",""game"":""Los Angeles Angels @ Cleveland Guardians"",""game_key"":""los angeles angels @ cleveland guardians"",""market"":""HR"",""line"":""0.5"",""odds"":""1500"",""book"":""BetMGM"",""consensus_odds"":""1330"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+1500 | DraftKings:+1360 | Caesars:+1300 | FanDuel:+1300"",""raw_books_seen"":""BetMGM:+1500 | DraftKings:+1360 | Caesars:+1300 | FanDuel:+1300 | BetMGM:+1500"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Cleveland Guardians,probable,8,47.0,2.30,0.98,3.14,9.64,3.31,9.77,2.11,0.77,12.84,AVOID,12.84,MATCH,Progressive Field,Progressive Field,Cleveland Guardians,47.00,47.00,47.00,NEUTRAL,Neutral to slight suppressor,MATCH
10,2026-05-13,2026,Masyn Winn,,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,825010,2026-05-14T01:40:00Z,Scheduled,Sutter Health Park,away,0,J.T. Ginn,J.T. Ginn,J.T. Ginn,669372,R,J.T. Ginn,669372,Matthew Liberatore,669461,1450,BetMGM,6.45,42.90,missing,,,,,,,St. Louis Cardinals,St. Louis Cardinals @ Athletics,"{""player"":""Masyn Winn"",""player_key"":""masyn winn"",""team"":""St Louis Cardinals"",""team_key"":""st louis cardinals"",""game"":""St. Louis Cardinals @ Athletics"",""game_key"":""st louis cardinals @ athletics"",""market"":""HR"",""line"":""0.5"",""odds"":""1450"",""book"":""BetMGM"",""consensus_odds"":""1200"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+1450 | DraftKings:+1200 | FanDuel:+1200 | Caesars:+1100"",""raw_books_seen"":""BetMGM:+1450 | DraftKings:+1200 | FanDuel:+1200 | DraftKings:+1200 | FanDuel:+1120 | Caesars:+1100 | Caesars:+950 | BetMGM:+725 | BetMGM:+1450"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Athletics,probable,6,37.3,3.62,1.13,4.68,8.28,3.45,7.47,3.62,1.21,43.55,NEUTRAL,43.55,MATCH,Sutter Health Park,Sutter Health Park,Athletics,55.00,55.00,55.00,NEUTRAL,Neutral,MATCH
